LECROYWS3054,16293,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,29-Jul-2023 14:48:01,0                 
Time,Ampl
-1.00109e-007,0.0022
-9.9859e-008,0.0022
-9.9609e-008,0.0022
-9.9359e-008,0.0022
-9.9109e-008,0.0022
-9.8859e-008,0.0022
-9.8609e-008,0.0022
-9.8359e-008,0.0022
-9.8109e-008,0.0022
-9.7859e-008,0.0022
-9.7609e-008,0.0022
-9.7359e-008,0.0022
-9.7109e-008,0.0022
-9.6859e-008,0.0022
-9.6609e-008,0.0022
-9.6359e-008,0.0022
-9.6109e-008,0.0022
-9.5859e-008,0.0022
-9.5609e-008,0.0022
-9.5359e-008,0.0022
-9.5109e-008,0.0022
-9.4859e-008,0.0022
-9.4609e-008,0.0022
-9.4359e-008,0.0022
-9.4109e-008,0.0022
-9.3859e-008,0.0022
-9.3609e-008,0.0022
-9.3359e-008,0.0022
-9.3109e-008,0.0022
-9.2859e-008,0.0022
-9.2609e-008,0.0022
-9.2359e-008,0.0022
-9.2109e-008,0.0022
-9.1859e-008,0.0022
-9.1609e-008,0.0022
-9.1359e-008,0.0022
-9.1109e-008,0.0022
-9.0859e-008,0.0022
-9.0609e-008,0.0022
-9.0359e-008,0.0022
-9.0109e-008,0.0022
-8.9859e-008,0.0022
-8.9609e-008,0.00115
-8.9359e-008,0.0022
-8.9109e-008,0.0022
-8.8859e-008,0.0022
-8.8609e-008,0.0022
-8.8359e-008,0.0022
-8.8109e-008,0.0022
-8.7859e-008,0.0022
-8.7609e-008,0.0022
-8.7359e-008,0.0022
-8.7109e-008,0.0022
-8.6859e-008,0.0022
-8.6609e-008,0.0022
-8.6359e-008,0.0022
-8.6109e-008,0.0022
-8.5859e-008,0.0022
-8.5609e-008,0.0022
-8.5359e-008,0.0022
-8.5109e-008,0.0022
-8.4859e-008,0.0022
-8.4609e-008,0.0022
-8.4359e-008,0.0022
-8.4109e-008,0.0022
-8.3859e-008,0.0022
-8.3609e-008,0.0022
-8.3359e-008,0.00115
-8.3109e-008,0.0022
-8.2859e-008,0.0022
-8.2609e-008,0.0022
-8.2359e-008,0.00115
-8.2109e-008,0.0022
-8.1859e-008,0.0022
-8.1609e-008,0.0022
-8.1359e-008,0.00115
-8.1109e-008,0.0022
-8.0859e-008,0.0022
-8.0609e-008,0.0022
-8.0359e-008,0.0022
-8.0109e-008,0.0022
-7.9859e-008,0.0022
-7.9609e-008,0.0022
-7.9359e-008,0.0022
-7.9109e-008,0.0022
-7.8859e-008,0.0022
-7.8609e-008,0.00115
-7.8359e-008,0.0022
-7.8109e-008,0.0022
-7.7859e-008,0.0022
-7.7609e-008,0.00115
-7.7359e-008,0.0022
-7.7109e-008,0.0022
-7.6859e-008,0.0022
-7.6609e-008,0.00115
-7.6359e-008,0.0022
-7.6109e-008,0.0022
-7.5859e-008,0.0022
-7.5609e-008,0.00115
-7.5359e-008,0.0022
-7.5109e-008,0.0022
-7.4859e-008,0.0022
-7.4609e-008,0.0022
-7.4359e-008,0.0022
-7.4109e-008,0.0022
-7.3859e-008,0.0022
-7.3609e-008,0.0022
-7.3359e-008,0.0022
-7.3109e-008,0.0022
-7.2859e-008,0.0022
-7.2609e-008,0.00115
-7.2359e-008,0.0022
-7.2109e-008,0.0022
-7.1859e-008,0.00115
-7.1609e-008,0.00115
-7.1359e-008,0.0022
-7.1109e-008,0.0022
-7.0859e-008,0.0022
-7.0609e-008,0.00115
-7.0359e-008,0.0022
-7.0109e-008,0.0022
-6.9859e-008,0.0022
-6.9609e-008,0.00115
-6.9359e-008,0.0022
-6.9109e-008,0.0022
-6.8859e-008,0.0022
-6.8609e-008,0.00115
-6.8359e-008,0.0022
-6.8109e-008,0.0022
-6.7859e-008,0.0022
-6.7609e-008,0.00115
-6.7359e-008,0.0022
-6.7109e-008,0.0022
-6.6859e-008,0.00115
-6.6609e-008,0.00115
-6.6359e-008,0.0022
-6.6109e-008,0.0022
-6.5859e-008,0.0022
-6.5609e-008,0.0022
-6.5359e-008,0.0022
-6.5109e-008,0.0022
-6.4859e-008,0.0022
-6.4609e-008,0.0022
-6.4359e-008,0.00115
-6.4109e-008,0.0022
-6.3859e-008,0.0022
-6.3609e-008,0.0022
-6.3359e-008,0.00115
-6.3109e-008,0.0022
-6.2859e-008,0.0022
-6.2609e-008,0.0022
-6.2359e-008,0.00115
-6.2109e-008,0.0022
-6.1859e-008,0.0022
-6.1609e-008,0.0022
-6.1359e-008,0.00115
-6.1109e-008,0.0022
-6.0859e-008,0.00115
-6.0609e-008,0.0022
-6.0359e-008,0.00115
-6.0109e-008,0.0022
-5.9859e-008,0.0022
-5.9609e-008,0.0022
-5.9359e-008,0.00115
-5.9109e-008,0.0022
-5.8859e-008,0.0022
-5.8609e-008,0.0022
-5.8359e-008,0.00115
-5.8109e-008,0.0022
-5.7859e-008,0.0022
-5.7609e-008,0.0022
-5.7359e-008,0.00115
-5.7109e-008,0.0022
-5.6859e-008,0.00115
-5.6609e-008,0.0022
-5.6359e-008,0.00115
-5.6109e-008,0.0022
-5.5859e-008,0.00115
-5.5609e-008,0.0022
-5.5359e-008,0.00115
-5.5109e-008,0.0022
-5.4859e-008,0.0022
-5.4609e-008,0.0022
-5.4359e-008,0.00115
-5.4109e-008,0.0022
-5.3859e-008,0.0022
-5.3609e-008,0.0022
