LECROYWS3054,16387,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2023 02:51:56,0                 
Time,Ampl
-1.00075e-007,0.0035
-9.9825e-008,0.00183333
-9.9575e-008,0.0035
-9.9325e-008,0.00183333
-9.9075e-008,0.0035
-9.8825e-008,0.00183333
-9.8575e-008,0.0035
-9.8325e-008,0.00183333
-9.8075e-008,0.00183333
-9.7825e-008,0.00183333
-9.7575e-008,0.0035
-9.7325e-008,0.00183333
-9.7075e-008,0.00183333
-9.6825e-008,0.00183333
-9.6575e-008,0.0035
-9.6325e-008,0.00183333
-9.6075e-008,0.00183333
-9.5825e-008,0.00183333
-9.5575e-008,0.0035
-9.5325e-008,0.00183333
-9.5075e-008,0.00183333
-9.4825e-008,0.00183333
-9.4575e-008,0.0035
-9.4325e-008,0.00183333
-9.4075e-008,0.00183333
-9.3825e-008,0.0035
-9.3575e-008,0.0035
-9.3325e-008,0.00183333
-9.3075e-008,0.00183333
-9.2825e-008,0.00183333
-9.2575e-008,0.0035
-9.2325e-008,0.00183333
-9.2075e-008,0.0035
-9.1825e-008,0.00183333
-9.1575e-008,0.0035
-9.1325e-008,0.00183333
-9.1075e-008,0.0035
-9.0825e-008,0.00183333
-9.0575e-008,0.0035
-9.0325e-008,0.00183333
-9.0075e-008,0.0035
-8.9825e-008,0.00183333
-8.9575e-008,0.0035
-8.9325e-008,0.0035
-8.9075e-008,0.0035
-8.8825e-008,0.00183333
-8.8575e-008,0.0035
-8.8325e-008,0.0035
-8.8075e-008,0.0035
-8.7825e-008,0.00183333
-8.7575e-008,0.0035
-8.7325e-008,0.0035
-8.7075e-008,0.0035
-8.6825e-008,0.00183333
-8.6575e-008,0.0035
-8.6325e-008,0.0035
-8.6075e-008,0.0035
-8.5825e-008,0.00183333
-8.5575e-008,0.0035
-8.5325e-008,0.0035
-8.5075e-008,0.0035
-8.4825e-008,0.00183333
-8.4575e-008,0.0035
-8.4325e-008,0.0035
-8.4075e-008,0.0035
-8.3825e-008,0.00183333
-8.3575e-008,0.0035
-8.3325e-008,0.0035
-8.3075e-008,0.0035
-8.2825e-008,0.00183333
-8.2575e-008,0.0035
-8.2325e-008,0.0035
-8.2075e-008,0.0035
-8.1825e-008,0.00183333
-8.1575e-008,0.0035
-8.1325e-008,0.0035
-8.1075e-008,0.0035
-8.0825e-008,0.00183333
-8.0575e-008,0.0035
-8.0325e-008,0.00183333
-8.0075e-008,0.0035
-7.9825e-008,0.00183333
-7.9575e-008,0.0035
-7.9325e-008,0.00183333
-7.9075e-008,0.0035
-7.8825e-008,0.00183333
-7.8575e-008,0.0035
-7.8325e-008,0.00183333
-7.8075e-008,0.0035
-7.7825e-008,0.00183333
-7.7575e-008,0.0035
-7.7325e-008,0.00183333
-7.7075e-008,0.0035
-7.6825e-008,0.00183333
-7.6575e-008,0.0035
-7.6325e-008,0.00183333
-7.6075e-008,0.0035
-7.5825e-008,0.00183333
-7.5575e-008,0.0035
-7.5325e-008,0.00183333
-7.5075e-008,0.0035
-7.4825e-008,0.00183333
-7.4575e-008,0.0035
-7.4325e-008,0.00183333
-7.4075e-008,0.0035
-7.3825e-008,0.00183333
-7.3575e-008,0.0035
-7.3325e-008,0.00183333
-7.3075e-008,0.0035
-7.2825e-008,0.00183333
-7.2575e-008,0.0035
-7.2325e-008,0.00183333
-7.2075e-008,0.0035
-7.1825e-008,0.00183333
-7.1575e-008,0.0035
-7.1325e-008,0.00183333
-7.1075e-008,0.0035
-7.0825e-008,0.00183333
-7.0575e-008,0.0035
-7.0325e-008,0.00183333
-7.0075e-008,0.0035
-6.9825e-008,0.00183333
-6.9575e-008,0.0035
-6.9325e-008,0.0035
-6.9075e-008,0.0035
-6.8825e-008,0.00183333
-6.8575e-008,0.0035
-6.8325e-008,0.0035
-6.8075e-008,0.0035
-6.7825e-008,0.00183333
-6.7575e-008,0.0035
-6.7325e-008,0.0035
-6.7075e-008,0.0035
-6.6825e-008,0.00183333
-6.6575e-008,0.0035
-6.6325e-008,0.0035
-6.6075e-008,0.0035
-6.5825e-008,0.00183333
-6.5575e-008,0.0035
-6.5325e-008,0.0035
-6.5075e-008,0.0035
-6.4825e-008,0.00183333
-6.4575e-008,0.0035
-6.4325e-008,0.0035
-6.4075e-008,0.0035
-6.3825e-008,0.00183333
-6.3575e-008,0.0035
-6.3325e-008,0.0035
-6.3075e-008,0.0035
-6.2825e-008,0.0035
-6.2575e-008,0.0035
-6.2325e-008,0.0035
-6.2075e-008,0.0035
-6.1825e-008,0.0035
-6.1575e-008,0.0035
-6.1325e-008,0.0035
-6.1075e-008,0.0035
-6.0825e-008,0.0035
-6.0575e-008,0.0035
-6.0325e-008,0.0035
-6.0075e-008,0.0035
-5.9825e-008,0.0035
-5.9575e-008,0.0035
-5.9325e-008,0.0035
-5.9075e-008,0.0035
-5.8825e-008,0.0035
-5.8575e-008,0.0035
-5.8325e-008,0.0035
-5.8075e-008,0.0035
-5.7825e-008,0.0035
-5.7575e-008,0.0035
-5.7325e-008,0.00183333
-5.7075e-008,0.0035
-5.6825e-008,0.00183333
-5.6575e-008,0.0035
-5.6325e-008,0.00183333
-5.6075e-008,0.0035
-5.5825e-008,0.00183333
-5.5575e-008,0.0035
-5.5325e-008,0.00183333
-5.5075e-008,0.0035
-5.4825e-008,0.00183333
-5.4575e-008,0.0035
-5.4325e-008,0.00183333
-5.4075e-008,0.0035
-5.3825e-008,0.00183333
-5.3575e-008,0.0035
-5.3325e-008,0.00183333
-5.3075e-008,0.0035
-5.2825e-008,0.00183333
-5.2575e-008,0.0035
-5.2325e-008,0.00183333
-5.2075e-008,0.0035
-5.1825e-008,0.00183333
-5.1575e-008,0.0035
-5.1325e-008,0.00183333
-5.1075e-008,0.0035
-5.0825e-008,0.00183333
-5.0575e-008,0.0035
-5.0325e-008,0.00183333
-5.0075e-008,0.0035
-4.9825e-008,0.00183333
-4.9575e-008,0.0035
-4.9325e-008,0.0035
-4.9075e-008,0.0035
-4.8825e-008,0.00183333
-4.8575e-008,0.0035
-4.8325e-008,0.0035
-4.8075e-008,0.0035
-4.7825e-008,0.00183333
-4.7575e-008,0.0035
-4.7325e-008,0.0035
-4.7075e-008,0.0035
-4.6825e-008,0.00183333
-4.6575e-008,0.0035
-4.6325e-008,0.0035
-4.6075e-008,0.0035
-4.5825e-008,0.00183333
-4.5575e-008,0.0035
-4.5325e-008,0.0035
-4.5075e-008,0.0035
-4.4825e-008,0.00183333
-4.4575e-008,0.0035
-4.4325e-008,0.0035
-4.4075e-008,0.0035
-4.3825e-008,0.00183333
-4.3575e-008,0.0035
-4.3325e-008,0.00183333
-4.3075e-008,0.0035
-4.2825e-008,0.00183333
-4.2575e-008,0.0035
-4.2325e-008,0.00183333
-4.2075e-008,0.0035
-4.1825e-008,0.00183333
-4.1575e-008,0.0035
-4.1325e-008,0.00183333
-4.1075e-008,0.0035
-4.0825e-008,0.00183333
-4.0575e-008,0.0035
-4.0325e-008,0.00183333
-4.0075e-008,0.0035
-3.9825e-008,0.00183333
-3.9575e-008,0.0035
-3.9325e-008,0.00183333
-3.9075e-008,0.0035
-3.8825e-008,0.00183333
-3.8575e-008,0.0035
-3.8325e-008,0.00183333
-3.8075e-008,0.0035
-3.7825e-008,0.00183333
-3.7575e-008,0.0035
-3.7325e-008,0.00183333
-3.7075e-008,0.0035
-3.6825e-008,0.00183333
-3.6575e-008,0.0035
-3.6325e-008,0.00183333
-3.6075e-008,0.0035
-3.5825e-008,0.00183333
-3.5575e-008,0.0035
-3.5325e-008,0.00183333
-3.5075e-008,0.0035
-3.4825e-008,0.00183333
-3.4575e-008,0.0035
-3.4325e-008,0.00183333
-3.4075e-008,0.0035
-3.3825e-008,0.00183333
-3.3575e-008,0.0035
-3.3325e-008,0.00183333
-3.3075e-008,0.0035
-3.2825e-008,0.00183333
-3.2575e-008,0.0035
-3.2325e-008,0.00183333
-3.2075e-008,0.0035
-3.1825e-008,0.00183333
-3.1575e-008,0.0035
-3.1325e-008,0.00183333
-3.1075e-008,0.0035
-3.0825e-008,0.00183333
-3.0575e-008,0.0035
-3.0325e-008,0.00183333
-3.0075e-008,0.0035
-2.9825e-008,0.00183333
-2.9575e-008,0.0035
-2.9325e-008,0.00183333
-2.9075e-008,0.0035
-2.8825e-008,0.00183333
-2.8575e-008,0.0035
-2.8325e-008,0.00183333
-2.8075e-008,0.0035
-2.7825e-008,0.00183333
-2.7575e-008,0.0035
-2.7325e-008,0.00183333
-2.7075e-008,0.0035
-2.6825e-008,0.00183333
-2.6575e-008,0.0035
-2.6325e-008,0.00183333
-2.6075e-008,0.0035
-2.5825e-008,0.00183333
-2.5575e-008,0.0035
-2.5325e-008,0.0035
-2.5075e-008,0.0035
-2.4825e-008,0.00183333
-2.4575e-008,0.0035
-2.4325e-008,0.0035
-2.4075e-008,0.0035
